Counter,Channel1,Channel2
1179,2794,1817
1180,2862,1741
1181,2923,1676
1182,2952,1659
1183,2955,1673
1184,2959,1659
1185,2967,1689
1186,2924,1705
1187,2878,1772
1188,2876,1775
1189,2911,1754
1190,3002,1691
1191,3038,1625
1192,3066,1639
1193,3015,1659
1194,2985,1628
1195,2973,1629
1196,2990,1706
1197,2951,1742
1198,2921,1758
1199,2952,1771
1200,3064,1704
1201,3101,1613
1202,3053,1599
1203,3039,1581
1204,3082,1592
1205,3022,1614
1206,3040,1661
1207,2967,1738
1208,2953,1750
1209,2989,1727
1210,3054,1630
1211,3116,1580
1212,3099,1566
1213,3135,1577
1214,3087,1560
1215,3033,1578
1216,2989,1645
1217,2958,1679
1218,2984,1694
1219,3008,1676
1220,3021,1599
1221,2983,1578
1222,2970,1560
1223,2974,1563
1224,2955,1533
1225,2923,1545
1226,2904,1600
1227,2860,1656
1228,2829,1661
1229,2860,1675
1230,2858,1639
1231,2847,1578
1232,2840,1583
1233,2839,1580
1234,2808,1579
1235,2748,1583
1236,2670,1625
1237,2584,1692
1238,2526,1723
1239,2539,1723
1240,2556,1670
1241,2521,1599
1242,2444,1599
1243,2375,1639
1244,2283,1643
1245,2218,1661
1246,2109,1705
1247,1995,1770
1248,1901,1790
1249,1866,1785
1250,1852,1736
1251,1824,1693
1252,1769,1689
1253,1679,1689
1254,1598,1704
1255,1528,1737
1256,1418,1806
1257,1323,1867
1258,1241,1879
1259,1198,1872
1260,1177,1807
1261,1158,1758
1262,1070,1757
1263,959,1767
1264,907,1771
1265,858,1786
1266,808,1847
1267,713,1901
1268,663,1912
1269,637,1915
1270,650,1832
1271,637,1775
1272,601,1770
1273,537,1753
1274,495,1784
1275,445,1799
1276,377,1850
1277,286,1915
1278,250,1919
1279,249,1900
1280,268,1822
1281,272,1768
1282,253,1768
1283,233,1767
1284,205,1768
1285,201,1787
1286,175,1848
1287,138,1912
1288,135,1927
1289,154,1913
1290,205,1836
1291,235,1786
1292,224,1784
1293,231,1784
1294,216,1774
1295,206,1801
1296,172,1853
1297,138,1904
1298,144,1931
1299,188,1913
1300,248,1835
1301,285,1787
1302,296,1760
1303,300,1772
1304,303,1759
1305,313,1784
1306,302,1836
1307,252,1897
1308,253,1914
1309,299,1896
1310,363,1817
1311,407,1758
1312,414,1754
1313,413,1751
1314,410,1759
1315,414,1773
1316,396,1816
1317,365,1868
1318,361,1914
1319,410,1883
1320,473,1804
1321,523,1743
1322,538,1722
1323,538,1736
1324,543,1724
1325,551,1754
1326,541,1790
1327,504,1854
1328,505,1881
1329,542,1864
1330,619,1799
1331,669,1740
1332,679,1736
1333,695,1737
1334,703,1741
1335,697,1760
1336,681,1801
1337,638,1867
1338,648,1868
1339,685,1852
1340,759,1787
1341,810,1736
1342,824,1735
1343,828,1728
1344,839,1739
1345,829,1755
1346,794,1805
1347,776,1852
1348,768,1868
1349,809,1851
1350,875,1791
1351,926,1723
1352,936,1724
1353,942,1739
1354,943,1756
1355,942,1753
1356,937,1802
1357,902,1852
1358,908,1865
1359,935,1848
1360,1000,1775
1361,1040,1735
1362,1052,1724
1363,1055,1724
1364,1065,1720
1365,1055,1751
1366,1037,1792
1367,1001,1871
1368,988,1882
1369,1020,1866
1370,1098,1790
1371,1143,1738
1372,1147,1727
1373,1149,1725
1374,1146,1725
1375,1142,1752
1376,1104,1804
1377,1079,1853
1378,1082,1868
1379,1115,1856
1380,1181,1769
1381,1213,1711
1382,1214,1708
1383,1223,1722
1384,1224,1722
1385,1224,1737
1386,1195,1791
1387,1150,1854
1388,1148,1869
1389,1179,1850
1390,1244,1785
1391,1289,1736
1392,1292,1726
1393,1294,1735
1394,1290,1737
1395,1296,1743
1396,1277,1789
1397,1228,1867
1398,1223,1883
1399,1261,1863
1400,1325,1790
1401,1351,1741
1402,1341,1755
1403,1323,1772
1404,1294,1757
1405,1275,1769
1406,1228,1819
1407,1209,1879
1408,1209,1885
1409,1240,1856
1410,1304,1790
1411,1336,1742
1412,1338,1741
1413,1352,1743
1414,1352,1740
1415,1355,1756
1416,1335,1802
1417,1291,1863
1418,1288,1868
1419,1310,1838
1420,1368,1784
1421,1403,1710
1422,1405,1709
1423,1405,1704
1424,1404,1721
1425,1399,1723
1426,1367,1774
1427,1326,1839
1428,1322,1856
1429,1342,1849
1430,1402,1774
1431,1435,1721
1432,1435,1720
1433,1432,1737
1434,1434,1706
1435,1420,1739
1436,1387,1787
1437,1351,1851
1438,1338,1865
1439,1367,1838
1440,1420,1787
1441,1465,1738
1442,1469,1724
1443,1469,1724
1444,1465,1723
1445,1454,1725
1446,1439,1775
1447,1389,1849
1448,1384,1855
1449,1415,1840
1450,1469,1772
1451,1513,1719
1452,1516,1691
1453,1514,1690
1454,1515,1695
1455,1513,1725
1456,1482,1785
1457,1431,1851
1458,1419,1856
1459,1434,1864
1460,1503,1770
1461,1547,1724
1462,1536,1711
1463,1546,1710
1464,1547,1706
1465,1548,1735
1466,1512,1788
1467,1482,1849
1468,1469,1864
1469,1495,1847
1470,1550,1782
1471,1580,1721
1472,1580,1706
1473,1582,1707
1474,1582,1720
1475,1590,1724
1476,1550,1773
1477,1488,1849
1478,1498,1864
1479,1531,1836
1480,1597,1771
1481,1627,1721
1482,1627,1726
1483,1625,1725
1484,1626,1724
1485,1612,1753
1486,1582,1801
1487,1534,1868
1488,1529,1883
1489,1560,1863
1490,1613,1801
1491,1658,1754
1492,1658,1740
1493,1661,1725
1494,1658,1736
1495,1655,1754
1496,1598,1790
1497,1562,1837
1498,1560,1848
1499,1576,1822
1500,1630,1752
1501,1675,1703
1502,1689,1694
1503,1677,1705
1504,1660,1704
1505,1646,1709
1506,1616,1758
1507,1565,1837
1508,1562,1853
1509,1592,1818
1510,1644,1756
1511,1680,1692
1512,1674,1691
1513,1672,1693
1514,1661,1695
1515,1656,1705
1516,1639,1757
1517,1576,1824
1518,1577,1832
1519,1608,1831
1520,1673,1760
1521,1704,1705
1522,1704,1707
1523,1694,1694
1524,1693,1707
1525,1688,1720
1526,1644,1788
1527,1607,1822
1528,1599,1838
1529,1627,1820
1530,1692,1756
1531,1736,1721
1532,1736,1695
1533,1720,1705
1534,1708,1694
1535,1693,1710
1536,1672,1772
1537,1626,1849
1538,1625,1868
1539,1644,1851
1540,1693,1770
1541,1726,1722
1542,1723,1720
1543,1720,1710
1544,1721,1709
1545,1710,1719
1546,1691,1770
1547,1644,1834
1548,1645,1880
1549,1660,1835
1550,1736,1759
1551,1758,1705
1552,1755,1688
1553,1755,1695
1554,1750,1706
1555,1672,1816
1556,1659,1823
1557,1657,1850
1558,1677,1837
1559,1736,1755
1560,1771,1722
1561,1770,1707
1562,1769,1704
1563,1753,1696
1564,1738,1720
1565,1708,1771
1566,1661,1839
1567,1657,1850
1568,1678,1832
1569,1744,1786
1570,1785,1740
1571,1784,1737
1572,1774,1726
1573,1784,1723
1574,1759,1754
1575,1736,1801
1576,1690,1863
1577,1689,1895
1578,1722,1854
1579,1769,1785
1580,1802,1739
1581,1800,1709
1582,1799,1711
1583,1786,1708
1584,1775,1734
1585,1735,1788
1586,1692,1847
1587,1690,1863
1588,1709,1838
1589,1772,1770
1590,1806,1711
1591,1789,1708
1592,1786,1711
1593,1787,1706
1594,1773,1735
1595,1743,1768
1596,1691,1838
1597,1679,1867
1598,1705,1855
1599,1758,1774
1600,1802,1722
1601,1799,1720
1602,1790,1723
1603,1785,1723
1604,1783,1742
1605,1754,1789
1606,1706,1856
1607,1704,1868
1608,1719,1867
1609,1771,1787
1610,1816,1736
1611,1807,1710
1612,1800,1705
1613,1784,1709
1614,1772,1741
1615,1739,1815
1616,1711,1851
1617,1694,1864
1618,1709,1854
1619,1767,1786
1620,1802,1722
1621,1816,1723
1622,1803,1720
1623,1788,1719
1624,1774,1737
1625,1755,1785
1626,1705,1864
1627,1704,1882
1628,1722,1854
1629,1781,1784
1630,1816,1737
1631,1815,1710
1632,1806,1722
1633,1788,1711
1634,1784,1752
1635,1758,1773
1636,1710,1853
1637,1704,1868
1638,1723,1864
1639,1786,1783
1640,1821,1723
1641,1820,1720
1642,1819,1736
1643,1805,1740
1644,1803,1756
1645,1760,1816
1646,1736,1869
1647,1720,1888
1648,1739,1851
1649,1800,1805
1650,1820,1742
1651,1823,1751
1652,1821,1739
1653,1819,1725
1654,1804,1725
1655,1775,1790
1656,1724,1855
1657,1722,1869
1658,1752,1866
1659,1805,1785
1660,1852,1722
1661,1837,1720
1662,1838,1719
1663,1834,1725
1664,1819,1751
1665,1784,1789
1666,1741,1864
1667,1736,1887
1668,1758,1866
1669,1819,1782
1670,1852,1726
1671,1854,1725
1672,1851,1725
1673,1839,1738
1674,1835,1739
1675,1790,1800
1676,1755,1849
