Counter,Channel1,Channel2
1285,2108,2267
1286,2219,2062
1287,2314,1864
1288,2314,1820
1289,2303,1790
1290,2311,1770
1291,2299,1768
1292,2240,1851
1293,2112,2095
1294,2062,2237
1295,2090,2239
1296,2201,2039
1297,2296,1824
1298,2285,1791
1299,2285,1774
1300,2283,1759
1301,2271,1755
1302,2216,1833
1303,2087,2076
1304,2030,2216
1305,2059,2218
1306,2171,2023
1307,2263,1816
1308,2253,1768
1309,2250,1739
1310,2234,1725
1311,2234,1724
1312,2183,1802
1313,2043,2042
1314,1991,2184
1315,2009,2185
1316,2121,1991
1317,2205,1786
1318,2203,1741
1319,2192,1723
1320,2187,1703
1321,2175,1693
1322,2121,1776
1323,1979,2030
1324,1917,2183
1325,1935,2176
1326,2044,1983
1327,2138,1769
1328,2138,1726
1329,2125,1704
1330,2123,1674
1331,2120,1676
1332,2059,1759
1333,1930,2011
1334,1880,2156
1335,1896,2158
1336,1996,1965
1337,2092,1759
1338,2092,1722
1339,2091,1693
1340,2089,1679
1341,2076,1673
1342,2027,1752
1343,1887,2010
1344,1848,2140
1345,1865,2140
1346,1966,1945
1347,2058,1739
1348,2058,1704
1349,2059,1676
1350,2046,1657
1351,2030,1659
1352,1996,1726
1353,1864,1982
1354,1800,2121
1355,1817,2125
1356,1927,1928
1357,2013,1721
1358,2025,1692
1359,2024,1663
1360,2010,1645
1361,1998,1631
1362,1959,1723
1363,1820,1979
1364,1768,2126
1365,1788,2127
1366,1896,1935
1367,1984,1725
1368,1994,1689
1369,1994,1674
1370,1981,1642
1371,1980,1642
1372,1934,1712
1373,1815,1962
1374,1758,2106
1375,1782,2108
1376,1882,1913
1377,1982,1708
1378,1977,1672
1379,1980,1643
1380,1981,1614
1381,1982,1612
1382,1935,1692
1383,1802,1934
1384,1743,2092
1385,1771,2103
1386,1880,1918
1387,1979,1705
1388,1976,1662
1389,1966,1641
1390,1966,1624
1391,1962,1615
1392,1920,1691
1393,1788,1961
1394,1724,2108
1395,1741,2107
1396,1851,1912
1397,1962,1706
1398,1960,1672
1399,1961,1655
1400,1950,1640
1401,1949,1624
1402,1915,1693
1403,1784,1946
1404,1722,2093
1405,1738,2106
1406,1853,1917
1407,1951,1707
1408,1946,1658
1409,1935,1631
1410,1932,1610
1411,1931,1615
1412,1886,1693
1413,1752,1947
1414,1695,2104
1415,1723,2106
1416,1831,1911
1417,1930,1691
1418,1930,1663
1419,1933,1645
1420,1932,1625
1421,1932,1625
1422,1887,1687
1423,1759,1935
1424,1707,2090
1425,1734,2092
1426,1850,1914
1427,1951,1692
1428,1960,1646
1429,1960,1629
1430,1960,1598
1431,1950,1597
1432,1918,1671
1433,1800,1916
1434,1753,2076
1435,1760,2088
1436,1882,1897
1437,1993,1664
1438,2007,1625
1439,2008,1613
1440,2010,1594
1441,2014,1598
1442,1983,1661
1443,1852,1915
1444,1802,2073
1445,1818,2092
1446,1944,1901
1447,2045,1690
1448,2046,1640
1449,2011,1609
1450,1982,1579
1451,1964,1551
1452,1902,1611
1453,1755,1864
1454,1691,2039
1455,1706,2043
1456,1787,1836
1457,1881,1608
1458,1865,1546
1459,1852,1543
1460,1839,1486
1461,1835,1466
1462,1803,1514
1463,1640,1757
1464,1550,1916
1465,1576,1928
1466,1675,1724
1467,1739,1499
1468,1738,1447
1469,1727,1400
1470,1694,1372
1471,1673,1359
1472,1628,1406
1473,1486,1673
1474,1398,1801
1475,1401,1832
1476,1486,1624
1477,1608,1403
1478,1600,1356
1479,1594,1355
1480,1563,1307
1481,1535,1292
1482,1482,1368
1483,1342,1623
1484,1289,1770
1485,1289,1772
1486,1385,1560
1487,1467,1354
1488,1464,1311
1489,1450,1278
1490,1422,1248
1491,1406,1242
1492,1358,1320
1493,1224,1591
1494,1166,1725
1495,1150,1725
1496,1246,1549
1497,1351,1337
1498,1337,1290
1499,1335,1303
1500,1323,1257
1501,1310,1260
1502,1261,1310
1503,1136,1583
1504,1080,1753
1505,1083,1754
1506,1181,1584
1507,1273,1369
1508,1262,1352
1509,1260,1321
1510,1259,1318
1511,1257,1307
1512,1225,1372
1513,1086,1646
1514,1024,1806
1515,1040,1818
1516,1149,1647
1517,1256,1417
1518,1258,1384
1519,1247,1369
1520,1246,1339
1521,1239,1319
1522,1198,1375
1523,1080,1628
1524,1001,1801
1525,1024,1818
1526,1148,1639
1527,1245,1421
1528,1245,1383
1529,1244,1341
1530,1257,1340
1531,1256,1367
1532,1214,1421
1533,1086,1672
1534,1024,1835
1535,1053,1866
1536,1152,1689
1537,1275,1469
1538,1274,1421
1539,1286,1422
1540,1289,1406
1541,1286,1422
1542,1256,1468
1543,1129,1708
1544,1080,1865
1545,1098,1886
1546,1210,1721
1547,1310,1502
1548,1323,1451
1549,1327,1432
1550,1339,1417
1551,1328,1416
1552,1306,1481
1553,1181,1737
1554,1127,1896
1555,1143,1913
1556,1259,1755
1557,1358,1516
1558,1359,1479
1559,1374,1465
1560,1373,1455
1561,1388,1448
1562,1357,1495
1563,1230,1754
1564,1175,1910
1565,1193,1918
1566,1309,1756
1567,1419,1530
1568,1423,1481
1569,1421,1467
1570,1432,1454
1571,1435,1423
1572,1417,1481
1573,1288,1758
1574,1230,1945
1575,1242,1945
1576,1359,1757
1577,1467,1516
1578,1481,1496
1579,1481,1486
1580,1484,1467
1581,1482,1439
1582,1438,1497
1583,1310,1756
1584,1257,1931
1585,1270,1949
1586,1373,1771
1587,1486,1560
1588,1486,1512
1589,1497,1497
1590,1502,1469
1591,1511,1465
1592,1469,1518
1593,1352,1774
1594,1291,1943
1595,1296,1960
1596,1418,1789
1597,1533,1562
1598,1545,1504
1599,1560,1502
1600,1560,1496
1601,1561,1467
1602,1531,1530
1603,1404,1803
1604,1352,1976
1605,1368,1993
1606,1483,1807
1607,1596,1593
1608,1607,1546
1609,1598,1527
1610,1613,1512
1611,1611,1494
1612,1582,1549
1613,1454,1800
1614,1390,1960
1615,1403,1991
1616,1501,1791
1617,1614,1565
1618,1629,1528
1619,1628,1496
1620,1632,1478
1621,1646,1468
1622,1623,1544
1623,1484,1774
1624,1421,1935
1625,1438,1976
1626,1550,1816
1627,1661,1575
1628,1670,1516
1629,1660,1503
1630,1659,1470
1631,1659,1453
1632,1629,1512
1633,1512,1759
1634,1447,1943
1635,1452,1966
1636,1552,1802
1637,1672,1559
1638,1679,1515
1639,1690,1511
1640,1690,1486
1641,1688,1482
1642,1660,1531
1643,1533,1784
1644,1468,1948
1645,1480,1980
1646,1593,1817
1647,1706,1579
1648,1712,1528
1649,1720,1516
1650,1724,1495
1651,1727,1495
1652,1692,1532
1653,1565,1787
1654,1499,1964
1655,1514,1996
1656,1626,1824
1657,1736,1581
1658,1738,1532
1659,1738,1530
